0.000,186798.422,12.068,13.364,0.000,37.360
1.000,186342.016,10.674,14.943,0.000,37.268
2.000,185723.547,9.625,16.291,0.001,37.144
3.000,185539.250,8.729,17.575,0.002,37.106
4.000,185378.781,7.960,18.793,0.003,37.073
5.000,185283.188,7.293,19.955,0.004,37.053
6.000,185212.031,6.709,21.066,0.005,37.037
7.000,185157.094,6.196,22.131,0.006,37.025
8.000,185071.719,5.742,23.154,0.007,37.007
9.000,185032.312,5.340,24.137,0.009,36.998
10.000,184999.312,4.981,25.082,0.010,36.990
11.000,184970.688,4.661,25.992,0.011,36.983
12.000,184947.219,4.375,26.868,0.013,36.977
13.000,184924.719,4.118,27.712,0.014,36.971
14.000,184906.922,3.888,28.524,0.015,36.966
15.000,184889.938,3.682,29.307,0.017,36.961
16.000,184842.281,3.496,30.060,0.018,36.950
17.000,184826.500,3.329,30.786,0.019,36.946
18.000,184814.094,3.179,31.486,0.021,36.942
19.000,184804.312,3.044,32.159,0.022,36.939
20.000,184795.125,2.923,32.808,0.023,36.936
21.000,184752.312,2.813,33.433,0.024,36.926
22.000,184743.281,2.714,34.035,0.025,36.923
23.000,184735.734,2.626,34.615,0.026,36.921
24.000,184729.219,2.546,35.174,0.028,36.918
25.000,184723.312,2.474,35.712,0.029,36.916
26.000,184716.969,2.409,36.230,0.030,36.914
27.000,184714.312,2.351,36.729,0.031,36.912
28.000,184711.188,2.298,37.210,0.032,36.911
29.000,184706.891,2.251,37.674,0.033,36.909
30.000,184702.000,2.209,38.120,0.033,36.907
31.000,184699.375,2.171,38.550,0.034,36.906
32.000,184662.094,2.137,38.965,0.035,36.897
33.000,184657.781,2.107,39.365,0.036,36.896
34.000,184655.953,2.080,39.750,0.037,36.894
35.000,184651.578,2.056,40.121,0.037,36.893
36.000,184651.125,2.034,40.480,0.038,36.892
37.000,184648.609,2.015,40.825,0.039,36.891
38.000,184647.969,1.998,41.158,0.040,36.890
39.000,184645.094,1.983,41.480,0.040,36.889
40.000,184644.031,1.970,41.790,0.041,36.888
41.000,184643.062,1.958,42.089,0.042,36.887
42.000,184642.719,1.948,42.378,0.042,36.886
43.000,184606.406,1.940,42.657,0.043,36.879
44.000,184604.812,1.932,42.926,0.043,36.878
45.000,184568.250,1.926,43.186,0.044,36.870
46.000,184568.719,1.920,43.437,0.044,36.870
47.000,184529.594,1.915,43.681,0.045,36.861
48.000,184528.906,1.912,43.916,0.045,36.861
49.000,184525.734,1.909,44.143,0.046,36.860
50.000,184526.594,1.906,44.363,0.046,36.859
51.000,184525.312,1.904,44.576,0.047,36.859
52.000,184522.156,1.903,44.782,0.047,36.858
53.000,184522.062,1.902,44.982,0.047,36.857
54.000,184521.531,1.902,45.175,0.048,36.857
55.000,184520.656,1.902,45.361,0.048,36.856
56.000,184518.875,1.902,45.542,0.048,36.855
57.000,184519.125,1.903,45.717,0.049,36.855
