-2.148,-6.721,-6.721,-6.721,-6.721,-6.721,-6.721,-6.721,-6.721
-2.170,-6.823,-6.823,-6.823,-6.823,-6.823,-6.823,-6.823,-6.823
-2.191,-6.917,-6.917,-6.917,-6.917,-6.917,-6.917,-6.917,-6.917
-2.212,-7.009,-7.009,-7.009,-7.009,-7.009,-7.009,-7.009,-7.009
-2.232,-7.094,-7.094,-7.094,-7.094,-7.094,-7.094,-7.094,-7.094
-2.252,-7.177,-7.177,-7.177,-7.177,-7.177,-7.177,-7.177,-7.177
-2.272,-7.257,-7.257,-7.257,-7.257,-7.257,-7.257,-7.257,-7.257
-2.290,-7.327,-7.327,-7.327,-7.327,-7.327,-7.327,-7.327,-7.327
-2.309,-7.399,-7.399,-7.399,-7.399,-7.399,-7.399,-7.399,-7.399
-2.326,-7.461,-7.461,-7.461,-7.461,-7.461,-7.461,-7.461,-7.461
-2.344,-7.524,-7.524,-7.524,-7.524,-7.524,-7.524,-7.524,-7.524
-2.360,-7.579,-7.579,-7.579,-7.579,-7.579,-7.579,-7.579,-7.579
-2.376,-7.632,-7.632,-7.632,-7.632,-7.632,-7.632,-7.632,-7.632
-2.392,-7.683,-7.683,-7.683,-7.683,-7.683,-7.683,-7.683,-7.683
-2.406,-7.726,-7.726,-7.726,-7.726,-7.726,-7.726,-7.726,-7.726
-2.421,-7.771,-7.771,-7.771,-7.771,-7.771,-7.771,-7.771,-7.771
-2.434,-7.809,-7.809,-7.809,-7.809,-7.809,-7.809,-7.809,-7.809
-2.447,-7.846,-7.846,-7.846,-7.846,-7.846,-7.846,-7.846,-7.846
-2.459,-7.879,-7.879,-7.879,-7.879,-7.879,-7.879,-7.879,-7.879
-2.471,-7.911,-7.911,-7.911,-7.911,-7.911,-7.911,-7.911,-7.911
-2.482,-7.940,-7.940,-7.940,-7.940,-7.940,-7.940,-7.940,-7.940
-2.493,-7.968,-7.968,-7.968,-7.968,-7.968,-7.968,-7.968,-7.968
