# x,p
-0.000,0.000
-0.634,0.000
-1.266,-0.266
-1.893,-0.893
-2.511,-1.511
-3.120,-2.120
-3.717,-2.717
-4.298,-3.298
-4.862,-3.862
-5.406,-4.406
-5.929,-4.929
-6.428,-5.428
-6.901,-5.901
-7.346,-6.346
-7.761,-6.761
-8.146,-7.146
-8.497,-7.497
-8.815,-7.815
-9.096,-8.096
-9.341,-8.341
-9.549,-8.549
-9.718,-8.718
-9.848,-8.848
-9.938,-8.938
-9.989,-8.989
-9.999,-8.999
-9.969,-8.999
-9.898,-8.999
-9.788,-8.999
-9.638,-8.999
-9.450,-8.999
-9.224,-8.999
-8.960,-8.960
-8.660,-8.660
-8.326,-8.326
-7.958,-7.958
-7.557,-7.557
-7.127,-7.127
-6.668,-6.668
-6.182,-6.182
-5.671,-5.671
-5.137,-5.137
-4.582,-4.582
-4.009,-4.009
-3.420,-3.420
-2.817,-2.817
-2.203,-2.203
-1.580,-1.580
-0.951,-0.951
-0.317,-0.317
0.317,0.317
0.951,0.951
1.580,1.580
2.203,2.203
2.817,2.817
3.420,3.420
4.009,4.009
4.582,4.582
5.137,5.137
5.671,5.671
6.182,6.182
6.668,6.668
7.127,7.127
7.557,7.557
7.958,7.958
8.326,8.326
8.660,8.660
8.960,8.960
9.224,9.224
9.450,9.450
9.638,9.638
9.788,9.788
9.898,9.898
9.969,9.969
9.999,9.999
9.989,9.999
9.938,9.999
9.848,9.999
9.718,9.999
9.549,9.999
9.341,9.999
9.096,9.999
8.815,9.815
8.497,9.497
8.146,9.146
7.761,8.761
7.346,8.346
6.901,7.901
6.428,7.428
5.929,6.929
5.406,6.406
4.862,5.862
4.298,5.298
3.717,4.717
3.120,4.120
2.511,3.511
1.893,2.893
1.266,2.266
0.634,1.634
0.000,1.000
-0.000,1.000
-0.317,0.683
-0.633,0.367
-0.946,0.054
-1.256,-0.256
-1.560,-0.560
-1.858,-0.858
-2.149,-1.149
-2.431,-1.431
-2.703,-1.703
-2.965,-1.965
-3.214,-2.214
-3.450,-2.450
-3.673,-2.673
-3.881,-2.881
-4.073,-3.073
-4.249,-3.249
-4.407,-3.407
-4.548,-3.548
-4.671,-3.671
-4.775,-3.775
-4.859,-3.859
-4.924,-3.924
-4.969,-3.969
-4.994,-3.994
-4.999,-3.999
-4.984,-3.999
-4.949,-3.999
-4.894,-3.999
-4.819,-3.999
-4.725,-3.999
-4.612,-3.999
-4.480,-3.999
-4.330,-3.999
-4.163,-3.999
-3.979,-3.979
-3.779,-3.779
-3.563,-3.563
-3.334,-3.334
-3.091,-3.091
-2.835,-2.835
-2.568,-2.568
-2.291,-2.291
-2.005,-2.005
-1.710,-1.710
-1.409,-1.409
-1.102,-1.102
-0.790,-0.790
-0.475,-0.475
-0.159,-0.159
0.159,0.159
0.475,0.475
0.790,0.790
1.102,1.102
1.409,1.409
1.710,1.710
2.005,2.005
2.291,2.291
2.568,2.568
2.835,2.835
3.091,3.091
3.334,3.334
3.563,3.563
3.779,3.779
3.979,3.979
4.163,4.163
4.330,4.330
4.480,4.480
4.612,4.612
4.725,4.725
4.819,4.819
4.894,4.894
4.949,4.949
4.984,4.984
4.999,4.999
4.994,4.999
4.969,4.999
4.924,4.999
4.859,4.999
4.775,4.999
4.671,4.999
4.548,4.999
4.407,4.999
4.249,4.999
4.073,4.999
3.881,4.881
3.673,4.673
3.450,4.450
3.214,4.214
2.965,3.965
2.703,3.703
2.431,3.431
2.149,3.149
1.858,2.858
1.560,2.560
1.256,2.256
0.946,1.946
0.633,1.633
0.317,1.317
0.000,1.000
