-3.257,-1.621
-2.632,-1.621
-2.007,-1.607
-1.382,-1.524
-0.757,-1.087
-0.132,-0.242
0.492,1.727
1.117,3.623
1.742,5.174
2.367,6.488
2.992,7.635
2.778,7.635
2.563,7.635
2.349,7.635
2.135,7.635
1.921,7.634
1.706,7.631
1.492,7.626
1.278,7.619
1.063,7.608
0.849,7.577
0.312,7.420
-0.225,7.063
-0.761,6.392
-1.298,5.490
-1.835,4.604
-2.372,3.816
-2.909,3.115
-3.445,2.434
-3.982,1.804
-4.519,1.173
-4.241,1.173
-3.962,1.173
-3.684,1.173
-3.406,1.174
-3.127,1.175
-2.849,1.178
-2.571,1.183
-2.293,1.226
-2.014,1.293
-1.736,1.382
-1.067,1.872
-0.398,2.813
0.271,4.176
0.940,5.416
1.609,6.316
2.278,7.019
2.947,7.599
3.616,8.651
4.285,9.626
4.954,10.500
3.731,10.500
2.507,10.491
1.284,10.384
0.060,9.838
-1.163,8.007
-2.386,5.803
-3.610,3.984
-4.833,2.340
-6.057,0.821
-7.280,-0.617
-6.681,-0.617
-6.081,-0.617
-5.482,-0.617
-4.883,-0.612
-4.284,-0.599
-3.684,-0.528
-3.085,-0.390
-2.486,-0.125
-1.886,0.317
-1.287,0.973
-0.778,1.824
-0.270,2.924
0.239,4.229
0.747,5.417
1.256,6.418
1.764,7.213
2.273,7.908
2.781,8.499
3.290,9.044
3.798,9.525
3.158,9.525
2.518,9.524
1.879,9.520
1.239,9.472
0.599,9.334
-0.041,8.970
-0.681,8.194
-1.320,7.073
-1.960,5.958
-2.600,4.992
-2.544,4.992
-2.487,4.992
-2.431,4.992
-2.375,4.992
-2.318,4.992
-2.262,4.992
-2.206,4.992
-2.150,4.992
-2.093,4.992
-2.037,4.992
-1.862,4.992
-1.686,4.992
-1.511,5.006
-1.336,5.043
-1.160,5.092
-0.985,5.158
-0.810,5.244
-0.635,5.352
-0.459,5.549
-0.284,5.787
0.192,6.490
0.668,7.196
1.143,7.768
1.619,8.206
2.095,8.570
2.571,8.870
3.047,9.148
3.522,9.385
3.998,9.711
4.474,10.117
3.835,10.117
3.196,10.117
2.557,10.116
1.918,10.095
1.278,10.034
0.639,9.868
0.000,9.476
-0.639,8.699
-1.278,7.533
-1.917,6.365
-1.859,6.365
-1.800,6.365
-1.742,6.365
-1.683,6.365
-1.625,6.365
-1.566,6.365
-1.508,6.365
-1.449,6.365
-1.391,6.365
-1.332,6.365
-1.329,6.365
-1.326,6.365
-1.323,6.365
-1.320,6.365
-1.317,6.365
-1.315,6.365
-1.312,6.365
-1.309,6.365
-1.306,6.365
-1.303,6.365
-0.511,6.619
0.281,7.462
1.073,8.329
1.865,8.939
2.658,9.374
3.450,9.725
4.242,10.028
5.034,10.598
5.826,11.513
6.618,12.327
6.612,12.327
6.606,12.327
6.601,12.327
6.595,12.327
6.589,12.327
6.583,12.327
6.577,12.327
6.572,12.327
6.566,12.327
6.560,12.327
6.205,12.327
5.850,12.327
5.496,12.327
5.141,12.327
4.786,12.327
4.431,12.327
4.076,12.325
3.722,12.323
3.367,12.316
3.012,12.304
2.827,12.297
2.641,12.288
2.456,12.272
2.271,12.253
2.086,12.231
1.900,12.206
1.715,12.177
1.530,12.139
1.344,12.090
1.159,12.033
1.264,12.033
1.370,12.033
1.475,12.033
1.580,12.033
1.685,12.033
1.791,12.033
1.896,12.033
2.001,12.033
2.107,12.033
2.212,12.036
2.438,12.045
2.664,12.050
2.890,12.054
3.116,12.056
3.342,12.070
3.568,12.085
3.794,12.096
4.020,12.105
4.246,12.119
4.472,12.139
3.744,12.139
3.016,12.139
2.288,12.132
1.560,12.095
0.832,11.910
0.104,11.427
-0.624,10.461
-1.352,9.012
-2.080,7.584
-2.808,6.338
-2.175,6.338
-1.541,6.373
-0.908,6.565
-0.274,7.265
0.359,8.247
0.993,9.142
1.626,9.792
2.260,10.265
2.893,10.679
3.527,11.027
2.798,11.027
2.069,11.024
1.340,10.999
0.611,10.872
-0.118,10.448
-0.846,9.498
-1.575,8.213
-2.304,7.051
-3.033,5.974
-3.762,4.839
-3.577,4.839
-3.392,4.839
-3.207,4.839
-3.022,4.839
-2.838,4.839
-2.653,4.841
-2.468,4.845
-2.283,4.852
-2.098,4.861
-1.913,4.874
-1.450,5.022
-0.986,5.325
-0.523,5.879
-0.059,6.678
0.404,7.544
0.867,8.330
1.331,8.933
1.794,9.446
2.258,9.847
2.721,10.228
2.020,10.228
1.320,10.217
0.619,10.149
-0.082,9.829
-0.782,9.026
-1.483,7.877
-2.184,6.819
-2.885,5.892
-3.585,5.048
-4.286,4.064
-3.899,4.064
-3.513,4.064
-3.126,4.065
-2.740,4.070
-2.353,4.079
-1.966,4.161
-1.580,4.300
-1.193,4.537
-0.807,4.968
-0.420,5.538
-0.636,5.538
-0.853,5.538
-1.070,5.538
-1.286,5.538
-1.503,5.471
-1.719,5.319
-1.936,5.202
-2.152,5.117
-2.369,5.057
-2.585,4.938
-2.403,4.938
-2.221,4.938
-2.040,4.938
-1.858,4.938
-1.676,4.938
-1.494,4.953
-1.312,4.993
-1.131,5.046
-0.949,5.118
-0.767,5.212
-1.530,5.212
-2.293,4.998
-3.056,4.691
-3.819,4.301
-4.581,3.635
-5.344,2.571
-6.107,1.543
-6.870,0.558
-7.633,-0.390
-8.396,-1.308
-8.088,-1.308
-7.780,-1.308
-7.472,-1.308
-7.164,-1.307
-6.855,-1.307
-6.547,-1.307
-6.239,-1.307
-5.931,-1.306
-5.623,-1.304
-5.315,-1.298
-4.994,-1.281
-4.672,-1.260
-4.351,-1.230
-4.029,-1.165
-3.707,-1.088
-3.386,-0.995
-3.064,-0.841
-2.743,-0.662
-2.421,-0.453
-2.100,-0.165
-1.612,0.368
-1.124,1.088
-0.635,2.045
-0.147,3.254
0.341,4.564
0.829,5.747
1.317,6.728
1.806,7.542
2.294,8.249
2.782,8.870
2.452,8.870
2.121,8.870
1.791,8.870
1.461,8.863
1.131,8.850
0.800,8.824
0.470,8.738
0.140,8.598
-0.191,8.382
-0.521,8.017
-0.468,8.017
-0.415,8.017
-0.362,8.017
-0.309,8.017
-0.256,8.017
-0.203,8.017
-0.150,8.017
-0.097,8.017
-0.044,8.017
0.009,8.017
0.215,8.017
0.420,8.017
0.626,8.127
0.831,8.253
1.037,8.349
1.243,8.418
1.448,8.467
1.654,8.551
1.859,8.626
2.065,8.686
1.595,8.686
1.124,8.686
0.654,8.647
0.183,8.547
-0.287,8.250
-0.757,7.688
-1.228,6.938
-1.698,6.138
-2.169,5.454
-2.639,4.809
-2.290,4.809
-1.941,4.809
-1.592,4.816
-1.243,4.890
-0.894,5.023
-0.545,5.283
-0.196,5.754
0.153,6.273
0.502,6.801
0.851,7.295
0.524,7.295
0.198,7.295
-0.129,7.295
-0.456,7.100
-0.782,6.818
-1.109,6.495
-1.436,6.066
-1.763,5.677
-2.089,5.361
-2.416,5.024
-2.693,4.739
-2.969,4.394
-3.246,4.064
-3.523,3.720
-3.799,3.392
-4.076,3.082
-4.353,2.770
-4.630,2.456
-4.906,2.157
-5.183,1.871
-4.782,1.871
-4.381,1.871
-3.980,1.871
-3.579,1.872
-3.178,1.874
-2.777,1.916
-2.376,1.978
-1.975,2.117
-1.574,2.357
-1.173,2.690
-0.884,3.073
-0.594,3.535
-0.305,4.075
-0.015,4.701
0.274,5.354
0.563,5.959
0.853,6.493
1.142,6.986
1.432,7.408
1.721,7.769
1.650,7.769
1.580,7.769
1.509,7.769
1.439,7.769
1.368,7.769
1.298,7.769
1.228,7.769
1.157,7.769
1.087,7.769
1.016,7.769
0.911,7.769
0.806,7.769
0.701,7.767
0.596,7.753
0.491,7.735
0.385,7.714
0.280,7.688
0.175,7.657
0.070,7.621
-0.035,7.578
0.686,7.578
1.407,7.718
2.129,8.241
2.850,8.953
3.571,9.751
4.292,10.467
5.013,11.105
5.735,11.681
6.456,12.216
7.177,12.850
6.583,12.850
5.989,12.850
5.396,12.850
4.802,12.849
4.208,12.847
3.614,12.836
3.020,12.814
2.427,12.766
1.833,12.678
1.239,12.531
1.409,12.531
1.578,12.531
1.748,12.531
1.918,12.531
2.088,12.531
2.257,12.532
2.427,12.538
2.597,12.542
2.766,12.546
2.936,12.548
3.314,12.556
3.692,12.579
4.069,12.595
4.447,12.619
4.825,12.648
5.203,12.669
5.581,12.706
5.958,12.738
6.336,12.769
6.714,12.809
5.654,12.809
4.595,12.809
3.535,12.800
2.476,12.751
1.416,12.582
0.356,12.078
-0.703,10.725
-1.763,8.548
-2.822,6.649
-3.882,4.953
-3.805,4.953
-3.729,4.953
-3.652,4.953
-3.576,4.953
-3.499,4.953
-3.422,4.953
-3.346,4.953
-3.269,4.953
-3.193,4.953
-3.116,4.953
-2.281,4.967
-1.447,5.168
-0.612,5.924
0.223,7.398
1.058,8.804
1.892,9.772
2.727,10.484
3.562,11.059
4.396,11.549
5.231,11.981
4.468,11.981
3.706,11.981
2.943,11.977
2.181,11.956
1.418,11.872
0.656,11.647
-0.107,11.107
-0.869,9.984
-1.632,8.495
-2.394,7.166
-2.146,7.166
-1.897,7.166
-1.649,7.166
-1.401,7.166
-1.153,7.232
-0.904,7.332
-0.656,7.475
-0.408,7.664
-0.159,8.007
0.089,8.378
0.401,8.823
0.713,9.233
1.025,9.618
1.337,9.919
1.648,10.161
1.960,10.407
2.272,10.610
2.584,10.779
2.896,10.963
3.208,11.125
3.154,11.125
3.101,11.125
3.047,11.125
2.994,11.125
2.940,11.125
2.886,11.125
2.833,11.125
2.779,11.125
2.726,11.125
2.672,11.125
2.931,11.125
3.191,11.125
3.450,11.235
3.709,11.353
3.968,11.476
4.228,11.587
4.487,11.687
4.746,11.791
5.006,11.896
5.265,11.999
5.187,11.999
5.109,11.999
5.032,11.999
4.954,11.999
4.876,11.999
4.798,11.999
4.720,11.999
4.643,11.999
4.565,11.999
4.487,11.999
4.359,11.999
4.231,11.999
4.103,11.999
3.975,11.999
3.847,11.998
3.720,11.998
3.592,11.998
3.464,11.998
3.336,11.998
3.208,11.998
2.655,11.989
2.103,11.966
1.550,11.907
0.998,11.788
0.445,11.558
-0.108,11.117
-0.660,10.366
-1.213,9.317
-1.765,8.257
-2.318,7.295
-1.848,7.295
-1.377,7.295
-0.907,7.441
-0.437,7.750
0.033,8.369
0.504,9.030
0.974,9.611
1.444,10.055
1.915,10.407
2.385,10.708
2.241,10.708
2.097,10.708
1.952,10.708
1.808,10.708
1.664,10.708
1.520,10.708
1.376,10.708
1.231,10.702
1.087,10.694
0.943,10.684
0.451,10.621
-0.041,10.390
-0.534,9.954
-1.026,9.235
-1.518,8.450
-2.010,7.705
-2.502,7.000
-2.995,6.240
-3.487,5.513
-3.979,4.802
-3.156,4.802
-2.333,4.815
-1.510,5.009
-0.687,5.718
0.136,7.147
0.960,8.599
1.783,9.613
2.606,10.350
3.429,10.942
4.252,11.444
4.069,11.444
3.886,11.444
3.703,11.444
3.520,11.444
3.337,11.444
3.154,11.444
2.971,11.444
2.788,11.443
2.605,11.443
2.422,11.442
2.193,11.439
1.965,11.430
1.736,11.418
1.508,11.401
1.279,11.379
1.050,11.335
0.822,11.275
0.593,11.198
0.365,11.097
0.136,10.954
0.053,10.888
-0.031,10.815
-0.114,10.737
-0.198,10.651
-0.281,10.558
-0.365,10.458
-0.448,10.350
-0.532,10.235
-0.616,10.113
-0.699,9.984
-0.989,9.471
-1.278,8.922
-1.568,8.387
-1.857,7.880
-2.147,7.397
-2.437,6.950
-2.726,6.531
-3.016,6.108
-3.305,5.701
-3.595,5.313
-3.176,5.313
-2.756,5.313
-2.337,5.320
-1.917,5.344
-1.498,5.425
-1.079,5.679
-0.659,6.068
-0.240,6.726
0.180,7.487
0.599,8.232
0.680,8.369
0.760,8.499
0.841,8.623
0.921,8.741
1.002,8.852
1.083,8.957
1.163,9.057
1.244,9.152
1.324,9.241
1.405,9.326
1.015,9.326
0.625,9.326
0.236,9.284
-0.154,9.128
-0.544,8.866
-0.934,8.387
-1.324,7.847
-1.713,7.331
-2.103,6.834
-2.493,6.419
-1.895,6.419
-1.297,6.461
-0.699,6.719
-0.101,7.413
0.497,8.267
1.095,9.044
1.693,9.646
2.291,10.171
2.889,10.625
3.487,11.003
2.809,11.003
2.131,11.001
1.453,10.988
0.775,10.891
0.097,10.598
-0.580,9.909
-1.258,8.760
-1.936,7.597
-2.614,6.609
-3.292,5.695
-3.600,5.307
-3.907,4.897
-4.215,4.441
-4.523,3.984
-4.831,3.541
-5.138,3.095
-5.446,2.661
-5.754,2.241
-6.061,1.819
-6.369,1.405
-5.420,1.405
-4.471,1.405
-3.523,1.439
-2.574,1.647
-1.625,2.244
-0.676,3.549
0.273,5.709
1.221,7.639
2.170,8.962
3.119,9.970
2.686,9.970
2.253,9.970
1.820,9.966
1.387,9.957
0.954,9.920
0.522,9.818
0.089,9.630
-0.344,9.244
-0.777,8.674
-1.210,7.934
-1.127,7.934
-1.044,7.934
-0.960,7.934
-0.877,7.934
-0.794,7.934
-0.711,7.934
-0.628,7.934
-0.544,7.934
-0.461,7.934
-0.378,7.934
-0.591,7.934
-0.805,7.934
-1.018,7.934
-1.232,7.895
-1.446,7.520
-1.659,7.165
-1.873,6.835
-2.086,6.501
-2.300,6.187
-2.513,5.892
-2.743,5.590
-2.974,5.292
-3.204,4.989
-3.435,4.699
-3.665,4.421
-3.896,4.152
-4.126,3.869
-4.357,3.596
-4.587,3.334
-4.818,3.082
-3.960,3.082
-3.101,3.085
-2.243,3.182
-1.384,3.597
-0.526,4.667
0.332,6.420
1.191,7.941
2.049,9.002
2.908,9.805
3.766,10.544
3.183,10.544
2.599,10.544
2.016,10.540
1.433,10.513
0.850,10.433
0.266,10.202
-0.317,9.725
-0.900,8.859
-1.484,7.801
-2.067,6.824
