# x,p
-0.000,-5.000
-0.634,-5.000
-1.266,-5.000
-1.893,-5.000
-2.511,-20.330
-3.120,-38.600
-3.717,-56.510
-4.298,-73.940
-4.862,-90.860
-5.406,-107.180
-5.929,-122.870
-6.428,-137.840
-6.901,-152.030
-7.346,-165.380
-7.761,-177.830
-8.146,-189.380
-8.497,-199.910
-8.815,-209.450
-9.096,-217.880
-9.341,-225.230
-9.549,-231.470
-9.718,-236.540
-9.848,-240.440
-9.938,-243.140
-9.989,-244.670
-9.999,-244.970
-9.969,-244.970
-9.898,-244.970
-9.788,-244.970
-9.638,-244.970
-9.450,-244.970
-9.224,-244.970
-8.960,-244.970
-8.660,-244.970
-8.326,-244.970
-7.958,-243.740
-7.557,-231.710
-7.127,-218.810
-6.668,-205.040
-6.182,-190.460
-5.671,-175.130
-5.137,-159.110
-4.582,-142.460
-4.009,-125.270
-3.420,-107.600
-2.817,-89.510
-2.203,-71.090
-1.580,-52.400
-0.951,-33.530
-0.317,-14.510
0.317,4.510
0.951,23.530
1.580,42.400
2.203,61.090
2.817,79.510
3.420,97.600
4.009,115.270
4.582,132.460
5.137,149.110
5.671,165.130
6.182,180.460
6.668,195.040
7.127,208.810
7.557,221.710
7.958,233.740
8.326,244.780
8.660,254.800
8.960,263.800
9.224,271.720
9.450,278.500
9.638,284.140
9.788,288.640
9.898,291.940
9.969,294.070
9.999,294.970
9.989,294.970
9.938,294.970
9.848,294.970
9.718,294.970
9.549,294.970
9.341,294.970
9.096,294.970
8.815,294.970
8.497,294.970
8.146,294.970
7.761,287.830
7.346,275.380
6.901,262.030
6.428,247.840
5.929,232.870
5.406,217.180
4.862,200.860
4.298,183.940
3.717,166.510
3.120,148.600
2.511,130.330
1.893,111.790
1.266,92.980
0.634,74.020
0.000,55.000
-0.000,55.000
-0.317,45.490
-0.633,36.010
-0.946,26.620
-1.256,17.320
-1.560,8.200
-1.858,-0.740
-2.149,-9.470
-2.431,-17.930
-2.703,-26.090
-2.965,-33.950
-3.214,-41.420
-3.450,-48.500
-3.673,-55.190
-3.881,-61.430
-4.073,-67.190
-4.249,-72.470
-4.407,-77.210
-4.548,-81.440
-4.671,-85.130
-4.775,-88.250
-4.859,-90.770
-4.924,-92.720
-4.969,-94.070
-4.994,-94.820
-4.999,-94.970
-4.984,-94.970
-4.949,-94.970
-4.894,-94.970
-4.819,-94.970
-4.725,-94.970
-4.612,-94.970
-4.480,-94.970
-4.330,-94.970
-4.163,-94.970
-3.979,-94.970
-3.779,-94.970
-3.563,-94.970
-3.334,-94.970
-3.091,-94.970
-2.835,-90.050
-2.568,-82.040
-2.291,-73.730
-2.005,-65.150
-1.710,-56.300
-1.409,-47.270
-1.102,-38.060
-0.790,-28.700
-0.475,-19.250
-0.159,-9.770
0.159,-0.230
0.475,9.250
0.790,18.700
1.102,28.060
1.409,37.270
1.710,46.300
2.005,55.150
2.291,63.730
2.568,72.040
2.835,80.050
3.091,87.730
3.334,95.020
3.563,101.890
3.779,108.370
3.979,114.370
4.163,119.890
4.330,124.900
4.480,129.400
4.612,133.360
4.725,136.750
4.819,139.570
4.894,141.820
4.949,143.470
4.984,144.520
4.999,144.970
4.994,144.970
4.969,144.970
4.924,144.970
4.859,144.970
4.775,144.970
4.671,144.970
4.548,144.970
4.407,144.970
4.249,144.970
4.073,144.970
3.881,144.970
3.673,144.970
3.450,144.970
3.214,144.970
2.965,143.950
2.703,136.090
2.431,127.930
2.149,119.470
1.858,110.740
1.560,101.800
1.256,92.680
0.946,83.380
0.633,73.990
0.317,64.510
0.000,55.000
