# x,p
-0.000,-5.000
-0.634,-5.000
-1.266,-5.000
-1.893,-5.000
-2.511,-5.000
-3.120,-66.200
-3.717,-146.795
-4.298,-225.230
-4.862,-301.370
-5.406,-374.810
-5.929,-445.415
-6.428,-512.780
-6.901,-576.635
-7.346,-636.710
-7.761,-692.735
-8.146,-744.710
-8.497,-792.095
-8.815,-835.025
-9.096,-872.960
-9.341,-906.035
-9.549,-934.115
-9.718,-956.930
-9.848,-974.480
-9.938,-986.630
-9.989,-993.515
-9.999,-994.865
-9.969,-994.865
-9.898,-994.865
-9.788,-994.865
-9.638,-994.865
-9.450,-994.865
-9.224,-994.865
-8.960,-994.865
-8.660,-994.865
-8.326,-994.865
-7.958,-994.865
-7.557,-994.865
-7.127,-967.145
-6.668,-905.180
-6.182,-839.570
-5.671,-770.585
-5.137,-698.495
-4.582,-623.570
-4.009,-546.215
-3.420,-466.700
-2.817,-385.295
-2.203,-302.405
-1.580,-218.300
-0.951,-133.385
-0.317,-47.795
0.317,37.795
0.951,123.385
1.580,208.300
2.203,292.405
2.817,375.295
3.420,456.700
4.009,536.215
4.582,613.570
5.137,688.495
5.671,760.585
6.182,829.570
6.668,895.180
7.127,957.145
7.557,1015.195
7.958,1069.330
8.326,1119.010
8.660,1164.100
8.960,1204.600
9.224,1240.240
9.450,1270.750
9.638,1296.130
9.788,1316.380
9.898,1331.230
9.969,1340.815
9.999,1344.865
9.989,1344.865
9.938,1344.865
9.848,1344.865
9.718,1344.865
9.549,1344.865
9.341,1344.865
9.096,1344.865
8.815,1344.865
8.497,1344.865
8.146,1344.865
7.761,1344.865
7.346,1344.865
6.901,1286.635
6.428,1222.780
5.929,1155.415
5.406,1084.810
4.862,1011.370
4.298,935.230
3.717,856.795
3.120,776.200
2.511,693.985
1.893,610.555
1.266,525.910
0.634,440.590
0.000,355.000
-0.000,355.000
-0.317,312.205
-0.633,269.545
-0.946,227.290
-1.256,185.440
-1.560,144.400
-1.858,104.170
-2.149,64.885
-2.431,26.815
-2.703,-9.905
-2.965,-45.275
-3.214,-78.890
-3.450,-110.750
-3.673,-140.855
-3.881,-168.935
-4.073,-194.855
-4.249,-218.615
-4.407,-239.945
-4.548,-258.980
-4.671,-275.585
-4.775,-289.625
-4.859,-300.965
-4.924,-309.740
-4.969,-315.815
-4.994,-319.190
-4.999,-319.865
-4.984,-319.865
-4.949,-319.865
-4.894,-319.865
-4.819,-319.865
-4.725,-319.865
-4.612,-319.865
-4.480,-319.865
-4.330,-319.865
-4.163,-319.865
-3.979,-319.865
-3.779,-319.865
-3.563,-319.865
-3.334,-319.865
-3.091,-319.865
-2.835,-319.865
-2.568,-319.865
-2.291,-314.285
-2.005,-275.675
-1.710,-235.850
-1.409,-195.215
-1.102,-153.770
-0.790,-111.650
-0.475,-69.125
-0.159,-26.465
0.159,16.465
0.475,59.125
0.790,101.650
1.102,143.770
1.409,185.215
1.710,225.850
2.005,265.675
2.291,304.285
2.568,341.680
2.835,377.725
3.091,412.285
3.334,445.090
3.563,476.005
3.779,505.165
3.979,532.165
4.163,557.005
4.330,579.550
4.480,599.800
4.612,617.620
4.725,632.875
4.819,645.565
4.894,655.690
4.949,663.115
4.984,667.840
4.999,669.865
4.994,669.865
4.969,669.865
4.924,669.865
4.859,669.865
4.775,669.865
4.671,669.865
4.548,669.865
4.407,669.865
4.249,669.865
4.073,669.865
3.881,669.865
3.673,669.865
3.450,669.865
3.214,669.865
2.965,669.865
2.703,669.865
2.431,669.865
2.149,645.115
1.858,605.830
1.560,565.600
1.256,524.560
0.946,482.710
0.633,440.455
0.317,397.795
0.000,355.000
